---
IAT at: 23b000, size: 818, thunks: f1, is_terminated: 1, in_main: 0
---
23b2e0,7ffec67081d0,msvcp140._Cnd_do_broadcast_at_thread_exit #1359
23b2e8,7ffec6734d90,msvcp140.?_Xbad_alloc@std@@YAXXZ #652
23b2f0,7ffec67461d0,msvcp140.?_Ipfx@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA_N_N@Z #538
23b2f8,7ffec66fbba0,msvcp140.?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QEAAXH_N@Z #1222
23b300,7ffec66f57f0,msvcp140.??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@XZ #48
23b308,7ffec674e0a0,msvcp140.?snextc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHXZ #1241
23b310,7ffec66f55f0,msvcp140.??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ #13
23b318,7ffec66fc750,msvcp140.??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z #27
23b320,7ffec6708460,msvcp140._Query_perf_counter #1425
23b328,7ffec6708480,msvcp140._Query_perf_frequency #1426
23b330,7ffec6708690,msvcp140._Xtime_get_ticks #1485
23b338,7ffec6707530,msvcp140._Cnd_signal #1363
23b340,7ffec6707630,msvcp140._Cnd_wait #1366
23b348,7ffec673d6b0,msvcp140.??1?$basic_iostream@DU?$char_traits@D@std@@@std@@UEAA@XZ #129
23b350,7ffec673a340,msvcp140.??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z #20
23b358,7ffec674f680,msvcp140.?write@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@PEBD_J@Z #1344
23b360,7ffec6734dd0,msvcp140.?_Xinvalid_argument@std@@YAXPEBD@Z #654
23b368,7ffec6734e00,msvcp140.?_Xlength_error@std@@YAXPEBD@Z #655
23b370,7ffec66f7610,msvcp140.??Bios_base@std@@QEBA_NXZ #307
23b378,7ffec66f7030,msvcp140.??1?$basic_ios@DU?$char_traits@D@std@@@std@@UEAA@XZ #126
23b380,7ffec6734e30,msvcp140.?_Xout_of_range@std@@YAXPEBD@Z #656
23b388,7ffec6707300,msvcp140.?_Syserror_map@std@@YAPEBDH@Z #628
23b398,7fff2b8c0940,shell32.ShellExecuteW #578
23b3a8,7fff2c92cc70,user32.MapVirtualKeyA #2141
23b3b0,7fff2c9431f0,user32.SendInput #2291
23b3b8,7fff2c943320,user32.SetCursorPos #2314
23b3c0,7fff2c922710,user32.FindWindowA #1780
23b3c8,7fff2c9667d0,user32.GetForegroundWindow #1852
23b3d0,7fff2c8f80e0,user32.SetClipboardData #2309
23b3d8,7fff2c933c50,user32.EmptyClipboard #1739
23b3e0,7fff2c93d050,user32.GetAsyncKeyState #1796
23b3e8,7fff2c920370,user32.GetCursorPos #1828
23b3f0,7fff2c90eb20,user32.GetKeyState #1868
23b3f8,7fff2c920ac0,user32.GetMessageExtraInfo #1898
23b400,7fff2c925e10,user32.LoadCursorA #2105
23b408,7fff2c92b8c0,user32.CloseClipboard #1588
23b410,7fff2c929e80,user32.ReleaseCapture #2269
23b418,7fff2c8da420,user32.IsWindowUnicode #2096
23b420,7fff2c92b230,user32.GetClientRect #1814
23b428,7fff2c921af0,user32.SetCursor #2312
23b430,7fff2c9432a0,user32.SetCapture #2301
23b438,7fff2c919a40,user32.GetKeyboardLayout #1869
23b440,7fff2c8da160,user32.CallWindowProcA #1536
23b448,7fff2c943710,user32.TrackMouseEvent #2441
23b450,7fff2c93e820,user32.ClientToScreen #1586
23b458,7fff2c91a1f0,user32.GetCapture #1800
23b460,7fff2c93e9c0,user32.ScreenToClient #2282
23b468,7fff2c92b420,user32.SetWindowLongPtrA #2393
23b470,7fff2c8f86b0,user32.GetClipboardData #1817
23b478,7fff2c922a50,user32.OpenClipboard #2175
23b488,7fff0343f010,vcruntime140.memcmp #60
23b490,7fff0343f030,vcruntime140.memset #63
23b498,7fff0343f020,vcruntime140.memcpy #61
23b4a0,7fff03425360,vcruntime140.__std_type_info_destroy_list #38
23b4a8,7fff03425510,vcruntime140._CxxThrowException #2
23b4b0,7fff03421200,vcruntime140.__current_exception_context #29
23b4b8,7fff034211e0,vcruntime140.__current_exception #28
23b4c0,7fff0343a1c0,vcruntime140.wcsstr #71
23b4c8,7fff03439d80,vcruntime140.strstr #67
23b4d0,7fff03439bb0,vcruntime140.strchr #65
23b4d8,7fff0343a920,vcruntime140.__C_specific_handler #9
23b4e0,7fff034252d0,vcruntime140.__std_exception_destroy #35
23b4e8,7fff03425230,vcruntime140.__std_exception_copy #34
23b4f0,7fff03421240,vcruntime140.__std_terminate #36
23b4f8,7fff0343da00,vcruntime140.memmove #62
23b500,7fff0343d860,vcruntime140.memchr #59
23b510,7fff242e4350,vcruntime140_1.__CxxFrameHandler4 #1
23b520,7fff212c3c80,winhttp.WinHttpSetOption #76
23b528,7fff2128dfb0,winhttp.WinHttpConnect #10
23b530,7fff212c5790,winhttp.WinHttpOpen #50
23b538,7fff212b44b0,winhttp.WinHttpReceiveResponse #67
23b540,7fff212d6b30,winhttp.WinHttpAddRequestHeaders #5
23b548,7fff212d4c00,winhttp.WinHttpSendRequest #73
23b550,7fff21293910,winhttp.WinHttpReadData #63
23b558,7fff21291290,winhttp.WinHttpQueryDataAvailable #59
23b560,7fff21303cc0,winhttp.WinHttpQueryHeaders #60
23b568,7fff212d0eb0,winhttp.WinHttpOpenRequest #51
23b570,7fff21297ea0,winhttp.WinHttpCloseHandle #9
23b580,7fff29f63590,ucrtbase.atof #2059
23b588,7fff29f57ed0,ucrtbase.strtod #2404
23b590,7fff29f35860,ucrtbase.strtol #2409
23b598,7fff29f365d0,ucrtbase.strtoull #2413
23b5a0,7fff29f58b10,ucrtbase.strtoll #2411
23b5a8,7fff29f34750,ucrtbase.strtoul #2412
23b5b0,7fff29f365d0,ucrtbase.strtoull #2413
23b5c0,7fff29ef5e00,ucrtbase.malloc #2297
23b5c8,7fff29ef5de0,ucrtbase.free #2212
23b5d0,7fff29f59260,ucrtbase.realloc #2346
23b5d8,7fff29ef02a0,ucrtbase._callnewh #173
23b5e8,7fff29f4de20,ucrtbase.localeconv #2276
23b5f0,7fff29ee6d70,ucrtbase.___lc_codepage_func #51
23b600,7fff29f8bbd0,ucrtbase.sinf #2376
23b608,7fff29f8b210,ucrtbase.roundf #2360
23b610,7fff29f40800,ucrtbase._fdclass #249
23b618,7fff29f51cc0,ucrtbase.acosf #2041
23b620,7fff29f619e0,ucrtbase._dsign #219
23b628,7fff29f884d0,ucrtbase.log #2277
23b630,7fff29f07060,ucrtbase.atan2f #2054
23b638,7fff29f06bb0,ucrtbase.ldexp #2263
23b640,7fff29f05700,ucrtbase.fmodf #2203
23b648,7fff29f895b0,ucrtbase.logf #2289
23b650,7fff29f89790,ucrtbase.powf #2334
23b658,7fff29f55450,ucrtbase.pow #2333
23b660,7fff29f877e0,ucrtbase.cosf #2126
23b668,7fff29fd7050,ucrtbase.floorf #2192
23b670,7fff29f053c0,ucrtbase.sqrtf #2380
23b678,7fff29fd7030,ucrtbase.ceilf #2103
23b688,7fff29f4e650,ucrtbase._initterm #377
23b690,7fff29f53190,ucrtbase._initterm_e #378
23b698,7fff29f58660,ucrtbase._crt_atexit #203
23b6a0,7fff29f2b810,ucrtbase._execute_onexit_table #237
23b6a8,7fff29f7ddb0,ucrtbase._cexit #175
23b6b0,7fff29ef47f0,ucrtbase._register_onexit_function #1755
23b6b8,7fff29f58ac0,ucrtbase._initialize_onexit_table #375
23b6c0,7fff29f71250,ucrtbase._initialize_narrow_environment #374
23b6c8,7fff29f77110,ucrtbase._configure_narrow_argv #191
23b6d0,7fff29fa16e0,ucrtbase._seh_filter_dll #1768
23b6d8,7fff29f84aa0,ucrtbase.abort #2038
23b6e0,7fff29fa2b10,ucrtbase._wassert #1896
23b6e8,7fff29ef2ac0,ucrtbase._errno #231
23b6f0,7fff29fa19e0,ucrtbase.terminate #2421
23b6f8,7fff29f598e0,ucrtbase._beginthreadex #167
23b708,7fff29f5e7a0,ucrtbase.__stdio_common_vsscanf #121
23b710,7fff29f6d450,ucrtbase._wfopen #1970
23b718,7fff29f14620,ucrtbase.__stdio_common_vfprintf #108
23b720,7fff29f18440,ucrtbase.fseek #2216
23b728,7fff29f52210,ucrtbase.__acrt_iob_func #56
23b730,7fff29f19240,ucrtbase.ftell #2218
23b738,7fff29f18720,ucrtbase.fread #2210
23b740,7fff29ef8460,ucrtbase.__stdio_common_vsprintf #118
23b748,7fff29f15f90,ucrtbase.fwrite #2219
23b750,7fff29ef87f0,ucrtbase.__stdio_common_vsprintf_s #120
23b758,7fff29f41e70,ucrtbase.fclose #2170
23b760,7fff29f168d0,ucrtbase.fflush #2185
23b770,7fff29f62de0,ucrtbase.strncpy_s #2398
23b778,7fff29ef3480,ucrtbase.strcpy_s #2388
23b780,7fff29f40490,ucrtbase.strnlen #2399
23b788,7fff29f40ac0,ucrtbase.isalpha #2236
23b790,7fff29ef7c50,ucrtbase.tolower #2429
23b798,7fff29ef4460,ucrtbase.isspace #2245
23b7a0,7fff29f64070,ucrtbase.strcat_s #2383
23b7a8,7fff29fcd140,ucrtbase.strlen #2393
23b7b0,7fff29fcd3b0,ucrtbase.strncmp #2396
23b7b8,7fff29f4e6e0,ucrtbase.wcslen #2451
23b7c0,7fff29ef8c40,ucrtbase.isalnum #2235
23b7c8,7fff29fcd440,ucrtbase.strncpy #2397
23b7d0,7fff29fcd0c0,ucrtbase.strcmp #2385
23b7d8,7fff29f44c80,ucrtbase.toupper #2430
23b7e0,7fff29f5a760,ucrtbase.strtok_s #2408
23b7e8,7fff29f7c470,ucrtbase._stricmp #1816
23b7f8,7fff29f2c980,ucrtbase.qsort #2340
23b808,7fff250c2470,d3d11.D3D11CreateDeviceAndSwapChain #23
